order_id,order_date,customer_id,product_id,quantity,discount_pct,shipping_cost,sales_channel,order_status,base_price,unit_cost,unit_price,revenue,product_cost,profit,customer_since,customer_date_issue
O000001,2025-09-24,C00906,P0071,1,0.05,281.57655463832623,Online,Completed,4370.25,3126.8,4151.74,4151.74,3126.8,743.3634453616734,2021-08-16,False
O000002,2025-01-03,C00798,P0025,1,0.05,169.34398817943125,Online,Completed,13173.89,8040.17,12515.2,12515.2,8040.17,4305.68601182057,2020-05-06,False
O000003,2023-04-01,C02034,P0049,1,0.05,85.97254211043254,Online,Completed,3620.6,2285.05,3439.57,3439.57,2285.05,1068.5474578895673,2025-11-13,True
O000004,2023-06-16,C01587,P0063,3,0.0,1393.1360068583667,Store,Completed,3877.55,3036.56,3877.55,11632.650000000001,9109.68,1129.8339931416344,2021-07-04,False
O000005,2025-08-16,C01778,P0027,1,0.1,1036.5384508817951,Online,Completed,26372.42,16854.64,23735.18,23735.18,16854.64,5844.001549118206,2025-04-26,False
O000006,2023-07-26,C01421,P0070,2,0.1,506.1512781824356,Store,Returned,421.13,288.88,379.02,758.04,577.76,-325.8712781824356,2020-01-18,False
O000007,2025-12-24,C02435,P0070,1,0.15,146.20859698930633,Online,Completed,421.13,288.88,357.96,357.96,288.88,-77.12859698930635,2022-06-08,False
O000008,2024-05-30,C01392,P0058,1,0.0,1282.6734579178374,Online,Completed,2016.07,1486.71,2016.07,2016.07,1486.71,-753.3134579178375,2022-04-04,False
O000009,2025-01-16,C00458,P0009,5,0.05,1094.0062343756576,Store,Returned,55010.92,39856.38,52260.37,261301.85,199281.9,60925.94376562435,2025-12-17,True
O000010,2023-11-02,C02470,P0001,2,0.15,966.0595479130585,Online,Completed,76307.73,44819.33,64861.57,129723.14,89638.66,39118.42045208694,2025-02-04,True
O000011,2024-01-30,C02280,P0065,1,0.15,1139.0242529940692,Store,Completed,2151.86,1389.65,1829.08,1829.08,1389.65,-699.5942529940694,2024-07-22,True
O000012,2023-07-06,C01368,P0024,2,0.25,1433.3246388199427,Online,Completed,4047.59,3002.06,3035.69,6071.38,6004.12,-1366.0646388199425,2020-11-08,False
O000013,2024-09-14,C01398,P0019,1,0.2,238.07254509045097,Online,Completed,14773.27,10973.74,11818.62,11818.62,10973.74,606.8074549095501,2022-07-11,False
