customer_id,customer_name,customer_segment,city,state,customer_since
C00001,Customer_1,Consumer,Mumbai,Maharashtra,2025-03-02
C00002,Customer_2,Enterprise,Pune,Maharashtra,2025-09-26
C00003,Customer_3,Small Business,Kolkata,West Bengal,2024-02-23
C00004,Customer_4,Consumer,Mumbai,Maharashtra,2022-09-28
C00005,Customer_5,Consumer,Jaipur,Rajasthan,2022-10-30
C00006,Customer_6,Consumer,Ahmedabad,Gujarat,2025-08-02
C00007,Customer_7,Consumer,Pune,Maharashtra,2020-09-30
C00008,Customer_8,Small Business,Hyderabad,Telangana,2022-08-13
C00009,Customer_9,Small Business,Hyderabad,Telangana,2024-11-14
C00010,Customer_10,Small Business,Hyderabad,Telangana,2021-01-15
C00011,Customer_11,Consumer,Hyderabad,Telangana,2023-09-14
C00012,Customer_12,Enterprise,Ahmedabad,Gujarat,2021-04-23
C00013,Customer_13,Small Business,Mumbai,Maharashtra,2025-08-24
C00014,Customer_14,Consumer,Chennai,Tamil Nadu,2021-05-30
C00015,Customer_15,Consumer,Mumbai,Maharashtra,2020-07-09
C00016,Customer_16,Consumer,Delhi,Delhi,2023-04-06
C00017,Customer_17,Consumer,Kolkata,West Bengal,2023-03-06
C00018,Customer_18,Consumer,Bengaluru,Karnataka,2023-11-12
C00019,Customer_19,Consumer,Chennai,Tamil Nadu,2020-09-28
C00020,Customer_20,Consumer,Chennai,Tamil Nadu,2020-05-22
C00021,Customer_21,Small Business,Mumbai,Maharashtra,2025-03-27
C00022,Customer_22,Consumer,Chennai,Tamil Nadu,2022-12-28
C00023,Customer_23,Consumer,Kochi,Kerala,2022-02-26
C00024,Customer_24,Consumer,Kochi,Kerala,2025-10-27
C00025,Customer_25,Consumer,Delhi,Delhi,2024-08-08
C00026,Customer_26,Small Business,Bengaluru,Karnataka,2021-09-14
C00027,Customer_27,Consumer,Jaipur,Rajasthan,2022-07-26
C00028,Customer_28,Consumer,Ahmedabad,Gujarat,2023-01-23
C00029,Customer_29,Consumer,Mumbai,Maharashtra,2021-09-08
C00030,Customer_30,Consumer,Ahmedabad,Gujarat,2022-10-28
C00031,Customer_31,Small Business,Jaipur,Rajasthan,2020-03-07
C00032,Customer_32,Consumer,Mumbai,Maharashtra,2020-07-09
C00033,Customer_33,Consumer,Mumbai,Maharashtra,2021-06-04
C00034,Customer_34,Enterprise,Bengaluru,Karnataka,2022-09-16
C00035,Customer_35,Enterprise,Ahmedabad,Gujarat,2023-02-14
C00036,Customer_36,Small Business,Kochi,Kerala,2024-06-22
C00037,Customer_37,Consumer,Hyderabad,Telangana,2023-04-02
C00038,Customer_38,Consumer,Ahmedabad,Gujarat,2021-01-10
C00039,Customer_39,Small Business,Kolkata,West Bengal,2021-10-14
C00040,Customer_40,Consumer,Kolkata,West Bengal,2021-07-02
C00041,Customer_41,Consumer,Mumbai,Maharashtra,2023-01-02
C00042,Customer_42,Consumer,Hyderabad,Telangana,2020-03-13
C00043,Customer_43,Consumer,Pune,Maharashtra,2020-07-17
C00044,Customer_44,Enterprise,Jaipur,Rajasthan,2024-11-16
C00045,Customer_45,Consumer,Delhi,Delhi,2021-07-25
C00046,Customer_46,Small Business,Hyderabad,Telangana,2022-03-01
C00047,Customer_47,Consumer,Delhi,Delhi,2024-06-26
C00048,Customer_48,Consumer,Ahmedabad,Gujarat,2025-01-05
C00049,Customer_49,Consumer,Ahmedabad,Gujarat,2025-01-29
C00050,Customer_50,Consumer,Delhi,Delhi,2024-02-19
C00051,Customer_51,Enterprise,Jaipur,Rajasthan,2023-03-20
C00052,Customer_52,Small Business,Hyderabad,Telangana,2020-06-27
C00053,Customer_53,Enterprise,Pune,Maharashtra,2022-01-04
C00054,Customer_54,Small Business,Mumbai,Maharashtra,2025-11-06
C00055,Customer_55,Consumer,Bengaluru,Karnataka,2022-03-09
C00056,Customer_56,Enterprise,,Gujarat,2022-02-26
C00057,Customer_57,Consumer,Kolkata,West Bengal,2020-07-27
C00058,Customer_58,Consumer,Jaipur,Rajasthan,2021-05-07
C00059,Customer_59,Consumer,Bengaluru,Karnataka,2024-07-15
C00060,Customer_60,Consumer,Pune,Maharashtra,2022-01-01
C00061,Customer_61,Consumer,Chennai,Tamil Nadu,2023-02-03
C00062,Customer_62,Consumer,Mumbai,Maharashtra,2024-05-24
C00063,Customer_63,Small Business,Ahmedabad,Gujarat,2021-08-16
C00064,Customer_64,Consumer,Mumbai,Maharashtra,2023-04-30
C00065,Customer_65,Consumer,Bengaluru,Karnataka,2020-11-20
C00066,Customer_66,Consumer,Mumbai,Maharashtra,2022-09-05
C00067,Customer_67,Consumer,Chennai,Tamil Nadu,2024-10-15
C00068,Customer_68,Small Business,Bengaluru,Karnataka,2025-01-24
C00069,Customer_69,Consumer,Ahmedabad,Gujarat,2024-01-30
C00070,Customer_70,Enterprise,Hyderabad,Telangana,2022-06-12
C00071,Customer_71,Small Business,Kolkata,West Bengal,2023-10-22
C00072,Customer_72,Consumer,Bengaluru,Karnataka,2020-05-23
C00073,Customer_73,Consumer,Kochi,Kerala,2021-01-18
C00074,Customer_74,Small Business,Chennai,Tamil Nadu,2020-08-04
C00075,Customer_75,Small Business,Bengaluru,Karnataka,2024-02-24
C00076,Customer_76,Small Business,Bengaluru,Karnataka,2024-01-30
C00077,Customer_77,Small Business,Kochi,Kerala,2024-06-23
C00078,Customer_78,Consumer,Ahmedabad,Gujarat,2023-03-13
C00079,Customer_79,Consumer,Bengaluru,Karnataka,2020-04-20
C00080,Customer_80,Consumer,Kolkata,West Bengal,2022-10-10
C00081,Customer_81,Small Business,Mumbai,Maharashtra,2020-08-19
C00082,Customer_82,Small Business,Ahmedabad,Gujarat,2024-09-10
C00083,Customer_83,Consumer,Kolkata,West Bengal,2024-10-21
C00084,Customer_84,Consumer,Ahmedabad,Gujarat,2024-04-26
C00085,Customer_85,Consumer,Kolkata,West Bengal,2023-07-20
C00086,Customer_86,Consumer,Chennai,Tamil Nadu,2022-08-30
C00087,Customer_87,Small Business,Kolkata,West Bengal,2022-10-27
C00088,Customer_88,Small Business,Delhi,Delhi,2021-06-01
C00089,Customer_89,Small Business,Kolkata,West Bengal,2022-07-02
C00090,Customer_90,Consumer,Hyderabad,Telangana,2025-12-21
C00091,Customer_91,Consumer,Hyderabad,Telangana,2025-04-28
C00092,Customer_92,Small Business,Jaipur,Rajasthan,2024-01-02
C00093,Customer_93,Small Business,Delhi,Delhi,2025-02-15
C00094,Customer_94,Consumer,Delhi,Delhi,2023-07-31
C00095,Customer_95,Small Business,Mumbai,Maharashtra,2022-06-17
C00096,Customer_96,Consumer,Delhi,Delhi,2023-01-03
C00097,Customer_97,Consumer,Mumbai,Maharashtra,2023-04-04
C00098,Customer_98,Consumer,Jaipur,Rajasthan,2023-04-27
C00099,Customer_99,Consumer,Jaipur,Rajasthan,2025-10-26
C00100,Customer_100,Consumer,Chennai,Tamil Nadu,2021-11-18
C00101,Customer_101,Consumer,Hyderabad,Telangana,2025-08-30
C00102,Customer_102,Small Business,Kolkata,West Bengal,2021-07-19
C00103,Customer_103,Consumer,Kolkata,West Bengal,2023-04-22
C00104,Customer_104,Consumer,Kochi,Kerala,2025-03-09
C00105,Customer_105,Enterprise,Kochi,Kerala,2022-04-06
C00106,Customer_106,Consumer,Pune,Maharashtra,2023-09-13
C00107,Customer_107,Consumer,Ahmedabad,Gujarat,2024-12-16
C00108,Customer_108,Small Business,Chennai,Tamil Nadu,2022-12-18
C00109,Customer_109,Consumer,Pune,Maharashtra,2023-09-12
C00110,Customer_110,Consumer,Pune,Maharashtra,2024-07-02
C00111,Customer_111,Consumer,Bengaluru,Karnataka,2020-07-09
C00112,Customer_112,Consumer,Bengaluru,Karnataka,2023-05-08
C00113,Customer_113,Enterprise,Pune,Maharashtra,2023-08-28
C00114,Customer_114,Small Business,Delhi,Delhi,2021-12-08
C00115,Customer_115,Small Business,Ahmedabad,Gujarat,2021-01-13
C00116,Customer_116,Small Business,Chennai,Tamil Nadu,2021-01-21
C00117,Customer_117,Small Business,Pune,Maharashtra,2021-09-07
C00118,Customer_118,Consumer,Kolkata,West Bengal,2024-03-22
C00119,Customer_119,Small Business,Ahmedabad,Gujarat,2025-08-10
C00120,Customer_120,Consumer,Bengaluru,Karnataka,2024-10-20
C00121,Customer_121,Small Business,Kolkata,West Bengal,2021-04-08
C00122,Customer_122,Small Business,Bengaluru,Karnataka,2022-08-24
C00123,Customer_123,Consumer,Bengaluru,Karnataka,2020-06-20
C00124,Customer_124,Consumer,Ahmedabad,Gujarat,2023-02-20
C00125,Customer_125,Consumer,Bengaluru,Karnataka,2022-04-22
C00126,Customer_126,Consumer,Jaipur,Rajasthan,2023-08-14
C00127,Customer_127,Small Business,Hyderabad,Telangana,2025-03-23
C00128,Customer_128,Small Business,Jaipur,Rajasthan,2021-11-20
C00129,Customer_129,Consumer,Hyderabad,Telangana,2024-02-16
C00130,Customer_130,Consumer,,Kerala,2025-07-17
C00131,Customer_131,Consumer,Kochi,Kerala,2024-09-18
C00132,Customer_132,Consumer,Bengaluru,Karnataka,2021-01-17
C00133,Customer_133,Consumer,Chennai,Tamil Nadu,2023-11-13
C00134,Customer_134,Consumer,Chennai,Tamil Nadu,2024-05-02
C00135,Customer_135,Enterprise,Hyderabad,Telangana,2025-08-12
C00136,Customer_136,Consumer,Kolkata,West Bengal,2021-01-06
C00137,Customer_137,Consumer,Ahmedabad,Gujarat,2024-09-06
C00138,Customer_138,Small Business,Bengaluru,Karnataka,2024-01-09
C00139,Customer_139,Consumer,Ahmedabad,Gujarat,2021-09-02
C00140,Customer_140,Enterprise,Jaipur,Rajasthan,2020-04-25
C00141,Customer_141,Enterprise,Chennai,Tamil Nadu,2021-03-22
C00142,Customer_142,Consumer,Delhi,Delhi,2023-10-23
